"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"7","L2","Baseline",19,"prm_boudun",0,0,14,-1.29809029303012,-10.4915254237288,"sube","rueda"
"7","L2","Baseline",20,"tge_chagro",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","arrastra"
"7","L2","Baseline",21,"pgt_panrou",0,0,14,-1.29809029303012,-10.4915254237288,"cruza","empuja"
"7","L2","Baseline",22,"tge_chamai",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","arrastra"
"7","L2","Baseline",23,"pgt_panrue",0,1,14,-1.29809029303012,-10.4915254237288,"cruza","empuja"
"7","L2","Baseline",24,"tgd_malcol",0,0,14,-1.29809029303012,-10.4915254237288,"baja","arrastra"
"7","L2","Baseline",25,"trm_voitoi",0,0,14,-1.29809029303012,-10.4915254237288,"sube","tira de"
"7","L2","Baseline",26,"prd_balnei",0,1,14,-1.29809029303012,-10.4915254237288,"baja","rueda"
"7","L2","Baseline",27,"tre_cadmai",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","tira de"
"7","L2","Baseline",28,"pgm_paqtoi",0,1,14,-1.29809029303012,-10.4915254237288,"sube","empuja"
"7","L2","Baseline",29,"prd_balcol",0,1,14,-1.29809029303012,-10.4915254237288,"baja","rueda"
"7","L2","Baseline",30,"tre_cadgro",0,0,14,-1.29809029303012,-10.4915254237288,"entra en","tira de"
"7","L2","Baseline",31,"pgd_valcol",0,1,14,-1.29809029303012,-10.4915254237288,"baja","empuja"
"7","L2","Baseline",32,"pre_pnegro",0,1,14,-1.29809029303012,-10.4915254237288,"entra en","rueda"
"8","L2","Manner",1,"prm_boudun",0,1,20,-0.555725246612249,-4.49152542372881,"sube","rueda"
"8","L2","Manner",2,"pgt_panrue",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","empuja"
"8","L2","Manner",3,"pre_pnemai",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","rueda"
"8","L2","Manner",4,"pgt_panrou",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","empuja"
"8","L2","Manner",5,"prd_balcol",1,0,20,-0.555725246612249,-4.49152542372881,"baja","rueda"
"8","L2","Manner",6,"trt_pourue",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","tira de"
"8","L2","Manner",7,"pge_tabgro",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","empuja"
"8","L2","Manner",8,"trt_pourou",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","tira de"
"8","L2","Manner",9,"tgm_sactoi",0,1,20,-0.555725246612249,-4.49152542372881,"sube","arrastra"
"8","L2","Manner",10,"pgd_valnei",0,1,20,-0.555725246612249,-4.49152542372881,"baja","empuja"
"8","L2","Manner",11,"tge_chagro",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","arrastra"
"8","L2","Manner",12,"pgd_valcol",0,1,20,-0.555725246612249,-4.49152542372881,"baja","empuja"
"8","L2","Manner",13,"prt_rourou",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","rueda"
"8","L2","Manner",14,"tre_cadmai",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","tira de"
"8","L2","Manner",15,"prm_boutoi",0,0,20,-0.555725246612249,-4.49152542372881,"sube","rueda"
"8","L2","Manner",16,"tgt_cherue",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","arrastra"
"8","L2","Manner",17,"pre_pnegro",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","rueda"
"8","L2","Manner",18,"pgm_paqtoi",0,1,20,-0.555725246612249,-4.49152542372881,"sube","empuja"
"8","L2","Manner",19,"prd_balnei",0,1,20,-0.555725246612249,-4.49152542372881,"baja","rueda"
"8","L2","Manner",20,"tgm_sacdun",0,1,20,-0.555725246612249,-4.49152542372881,"sube","arrastra"
"8","L2","Manner",21,"tre_cadgro",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","tira de"
"8","L2","Manner",22,"tgd_malnei",0,1,20,-0.555725246612249,-4.49152542372881,"baja","arrastra"
"8","L2","Manner",23,"pgm_paqdun",0,1,20,-0.555725246612249,-4.49152542372881,"sube","empuja"
"8","L2","Manner",24,"prt_rourue",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","rueda"
"8","L2","Manner",25,"tgd_malcol",0,1,20,-0.555725246612249,-4.49152542372881,"baja","arrastra"
"8","L2","Manner",26,"pge_tabmai",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","empuja"
"8","L2","Manner",27,"trd_bronei",0,1,20,-0.555725246612249,-4.49152542372881,"baja","tira de"
"8","L2","Manner",28,"tgt_cherou",0,1,20,-0.555725246612249,-4.49152542372881,"cruza","arrastra"
"8","L2","Manner",29,"trm_voitoi",0,1,20,-0.555725246612249,-4.49152542372881,"sube","tira de"
"8","L2","Manner",30,"tge_chamai",0,1,20,-0.555725246612249,-4.49152542372881,"entra en","arrastra"
